ENC 
ENC bytes 0 
6:   SWcycles : 1869397   HWcycles : 10232
7:   SWcycles : 1869397   HWcycles : 10232
8:   SWcycles : 1869397   HWcycles : 10232
9:   SWcycles : 1869397   HWcycles : 10232
10:   SWcycles : 1869397   HWcycles : 10232
11:   SWcycles : 1869397   HWcycles : 10232
12:   SWcycles : 1869397   HWcycles : 10232
13:   SWcycles : 1869397   HWcycles : 10232
14:   SWcycles : 1869397   HWcycles : 10232
15:   SWcycles : 1869397   HWcycles : 10232
16:   SWcycles : 1869397   HWcycles : 10232
17:   SWcycles : 1869397   HWcycles : 10232
18:   SWcycles : 1869397   HWcycles : 10232
19:   SWcycles : 1869397   HWcycles : 10232
20:   SWcycles : 1869397   HWcycles : 10232
21:   SWcycles : 1869397   HWcycles : 10232
22:   SWcycles : 1869397   HWcycles : 10232
23:   SWcycles : 1869397   HWcycles : 10232
24:   SWcycles : 1869397   HWcycles : 10232
25:   SWcycles : 1869397   HWcycles : 10232
26:   SWcycles : 1869397   HWcycles : 10232
27:   SWcycles : 1869397   HWcycles : 10232
28:   SWcycles : 1869397   HWcycles : 10232
